name,description,category_id
apt-get install package_name,instalar / actualizar un paquete deb.,1
apt-cdrom install package_name,instalar / actualizar un paquete deb desde un cdrom.,1
apt-get update,actualizar la lista de paquetes.,1
apt-get upgrade,actualizar todos los paquetes instalados.,1
apt-get remove package_name,eliminar un paquete deb del sistema.,1
apt-get check,verificar la correcta resolución de las dependencias.,1
apt-get clean,limpiar cache desde los paquetes descargados.,1
apt-cache search searched-package,retorna lista de paquetes que corresponde a la serie «paquetes buscados».,1
yum install package_name,descargar e instalar un paquete rpm.,2
yum localinstall package_name.rpm,"este instalará un RPM y tratará de resolver todas las dependencies para ti, usando tus repositorios.",2
yum update package_name.rpm,actualizar todos los paquetes rpm instalados en el sistema.,2
yum update package_name,modernizar / actualizar un paquete rpm.,2
yum remove package_name,eliminar un paquete rpm.,2
yum list,listar todos los paquetes instalados en el sistema.,2
yum search package_name,Encontrar un paquete en repositorio rpm.,2
yum clean packages,limpiar un caché rpm borrando los paquetes descargados.,2
yum clean headers,eliminar todos los ficheros de encabezamiento que el sistema usa para resolver la dependencia.,2
yum clean all,eliminar desde los paquetes caché y ficheros de encabezado.,2
badblocks -v /dev/hda1,Chequear los bloques defectuosos en el disco hda1.,3
fsck /dev/hda1,reparar / chequear la integridad del fichero del sistema Linux en el disco hda1.,3
fsck.ext2 /dev/hda1,reparar / chequear la integridad del fichero del sistema ext 2 en el disco hda1.,3
e2fsck /dev/hda1,reparar / chequear la integridad del fichero del sistema ext 2 en el disco hda1.,3
e2fsck -j /dev/hda1,reparar / chequear la integridad del fichero del sistema ext 3 en el disco hda1.,3
fsck.ext3 /dev/hda1,reparar / chequear la integridad del fichero del sistema ext 3 en el disco hda1.,3
fsck.vfat /dev/hda1,reparar / chequear la integridad del fichero sistema fat en el disco hda1.,3
fsck.msdos /dev/hda1,reparar / chequear la integridad de un fichero del sistema dos en el disco hda1.,3
dosfsck /dev/hda1,reparar / chequear la integridad de un fichero del sistema dos en el disco hda1,3
shutdown -h now ,apagar el sistema (1).,4
init 0 ,apagar el sistema (2).,4
telinit 0 ,apagar el sistema (3).,4
halt, apagar el sistema (4).,4
shutdown -h hours:minutes &, apagado planificado del sistema.,4
shutdown -c ,cancelar un apagado planificado del sistema.,4
shutdown -r now ,reiniciar (1).,4
reboot ,reiniciar (2).,4
logout ,cerrar sesión.,4
cd /home ,entrar en el directorio “home”.,5
cd .. ,retroceder un nivel.,5
cd ../.. ,retroceder 2 niveles.,5
cd, ir al directorio raíz.,5
cd ~user1 ,ir al directorio user1.,5
cd – ,ir (regresar) al directorio anterior.,5
pwd, mostrar el camino del directorio de trabajo.,5
ls, ver los ficheros de un directorio.,5
ls -F ,ver los ficheros de un directorio.,5
ls -l ,mostrar los detalles de ficheros y carpetas de un directorio.,5
ls -a ,mostrar los ficheros ocultos.,5
ls *[0-9]* ,mostrar los ficheros y carpetas que contienen números.,5
tree, mostrar los ficheros y carpetas en forma de árbol comenzando por la raíz.(1),5
lstree, mostrar los ficheros y carpetas en forma de árbol comenzando por la raíz.(2),5
mkdir dir1 ,crear una carpeta o directorio con nombre ‘dir1’.,5
mkdir dir1 dir2 ,crear dos carpetas o directorios simultáneamente (Crear dos directorios a la vez).,5
mkdir -p /tmp/dir1/dir2 ,crear un árbol de directorios.,5
rm -f file1 ,borrar el fichero llamado ‘file1’.,5
rmdir dir1 ,borrar la carpeta llamada ‘dir1’.,5
rm -rf dir1 ,eliminar una carpeta llamada ‘dir1’ con su contenido de forma recursiva. (Si lo borro recursivo estoy diciendo que es con su contenido).,5
rm -rf dir1 dir2 ,borrar dos carpetas (directorios) con su contenido de forma recursiva.,5
mv dir1 new_dir ,renombrar o mover un fichero o carpeta (directorio).,5
cp file1 ,copiar un fichero.,5
cp file1 file2 ,copiar dos ficheros al unísono.,5
cp dir /* ,. copiar todos los ficheros de un directorio dentro del directorio de trabajo actual.,5
cp -a /tmp/dir1 . ,copiar un directorio dentro del directorio actual de trabajo.,5
cp -a dir1 ,copiar un directorio.,5
cp -a dir1 dir2 ,copiar dos directorio al unísono.,5
ln -s file1 lnk1 ,crear un enlace simbólico al fichero o directorio.,5
ln file1 lnk1 ,crear un enlace físico al fichero o directorio.,5
touch -t 0712250000 file1 ,modificar el tiempo real (tiempo de creación) de un fichero o directorio.,5
file file1 ,salida (volcado en pantalla) del tipo mime de un fichero texto.,5
iconv -l ,listas de cifrados conocidos.,5
iconv -f fromEncoding -t toEncoding inputFile > outputFile ,crea una nueva forma del fichero de entrada asumiendo que está codificado en fromEncoding y convirtiéndolo a ToEncoding.,5
find . -maxdepth 1 -name *.jpg -print -exec convert ”{}” -resize 80×60 “thumbs/{}” \,agrupar ficheros redimensionados en el directorio actual y enviarlos a directorios en vistas de miniaturas (requiere convertir desde ImagemagicK).,5
bunzip2 file1.bz2,descomprime in fichero llamado ‘file1.bz2’.,6
bzip2 file1,comprime un fichero llamado ‘file1’.,6
gunzip file1.gz,descomprime un fichero llamado ‘file1.gz’.,6
gzip file1,comprime un fichero llamado ‘file1’.,6
gzip -9 file1,comprime con compresión máxima.,6
rar a file1.rar test_file,crear un fichero rar llamado ‘file1.rar’.,6
rar a file1.rar file1 file2 dir1,"comprimir ‘file1’, ‘file2’ y ‘dir1’ simultáneamente.",6
rar x file1.rar,descomprimir archivo rar.,6
unrar x file1.rar,descomprimir archivo rar.,6
tar -cvf archive.tar file1,crear un tarball descomprimido.,6
tar -cvf archive.tar file1 file2 dir1,"crear un archivo conteniendo ‘file1’, ‘file2′ y’dir1’.",6
tar -tf archive.tar,mostrar los contenidos de un archivo.,6
tar -xvf archive.tar,extraer un tarball.,6
tar -xvf archive.tar -C /tmp,extraer un tarball en / tmp.,6
tar -cvfj archive.tar.bz2 dir1,crear un tarball comprimido dentro de bzip2.,6
tar -xvfj archive.tar.bz2,descomprimir un archivo tar comprimido en bzip2,6
tar -cvfz archive.tar.gz dir1,crear un tarball comprimido en gzip.,6
tar -xvfz archive.tar.gz,descomprimir un archive tar comprimido en gzip.,6
zip file1.zip file1,crear un archivo comprimido en zip.,6
zip -r file1.zip file1 file2 dir1,"comprimir, en zip, varios archivos y directorios de forma simultánea.",6
unzip file1.zip,descomprimir un archivo zip.,6
chattr +a file1,permite escribir abriendo un fichero solamente modo append.,7
chattr +c file1,permite que un fichero sea comprimido / descomprimido automaticamente.,7
chattr +d file1,asegura que el programa ignore borrar los ficheros durante la copia de seguridad.,7
chattr +i file1,"convierte el fichero en invariable, por lo que no puede ser eliminado, alterado, renombrado, ni enlazado.",7
chattr +s file1,permite que un fichero sea borrado de forma segura.,7
chattr +S file1,"asegura que un fichero sea modificado, los cambios son escritos en modo synchronous como con sync.",7
chattr +u file1,te permite recuperar el contenido de un fichero aún si este está cancelado.,7
lsattr,mostrar atributos especiales.,7
cdrecord -v gracetime=2 dev=/dev/cdrom -eject blank=fast -force,limpiar o borrar un cd regrabable.,8
mkisofs /dev/cdrom > cd.iso,crear una imagen iso de cdrom en disco.,8
mkisofs /dev/cdrom | gzip > cd_iso.gz,crear una imagen comprimida iso de cdrom en disco.,8
mkisofs -J -allow-leading-dots -R -V “Label CD” -iso-level 4 -o ./cd.iso data_cd,crear una imagen iso de un directorio.,8
cdrecord -v dev=/dev/cdrom cd.iso,quemar una imagen iso.,8
gzip -dc cd_iso.gz | cdrecord dev=/dev/cdrom –,quemar una imagen iso comprimida.,8
mount -o loop cd.iso /mnt/iso,montar una imagen iso.,8
cd-paranoia -B,llevar canciones de un cd a ficheros wav.,8
cd-paranoia – ”-3”,llevar las 3 primeras canciones de un cd a ficheros wav.,8
cdrecord –scanbus,escanear bus para identificar el canal scsi.,8
dd if=/dev/hdc | md5sum,"hacer funcionar un md5sum en un dispositivo, como un CD.",8
find / -name file1,buscar fichero y directorio a partir de la raíz del sistema.,9
find / -user user1,buscar ficheros y directorios pertenecientes al usuario ‘user1’.,9
find /home/user1 -name \*.bin,buscar ficheros con extensión ‘. bin’ dentro del directorio ‘/ home/user1’.,9
find /usr/bin -type f -atime +100,buscar ficheros binarios no usados en los últimos 100 días.,9
find /usr/bin -type f -mtime -10,buscar ficheros creados o cambiados dentro de los últimos 10 días.,9
find / -name \*.rpm -exec chmod 755 ‘{}’ \,buscar ficheros con extensión ‘.rpm’ y modificar permisos.,9
find / -xdev -name \*.rpm,"Buscar ficheros con extensión ‘.rpm’ ignorando los dispositivos removibles como cdrom, pen-drive, etc.…",9
locate \*.ps,encuentra ficheros con extensión ‘.ps’ ejecutados primeramente con el command ‘updatedb’.,9
whereis halt,"mostrar la ubicación de un fichero binario, de ayuda o fuente. En este caso pregunta dónde está el comando ‘halt’.",9
which halt,mostrar la senda completa (el camino completo) a un binario / ejecutable.,10
df -h,mostrar una lista de las particiones montadas.,10
ls -lSr |more,mostrar el tamaño de los ficheros y directorios ordenados por tamaño.,10
du -sh dir1,Estimar el espacio usado por el directorio ‘dir1’.,10
du -sk * | sort -rn,mostrar el tamaño de los ficheros y directorios ordenados por tamaño.,10
"rpm -q -a –qf ‘%10{SIZE}t%{NAME}n’ | sort -k1,1n","mostrar el espacio usado por los paquetes rpm instalados organizados por tamaño (Fedora, Redhat y otros).",10
"dpkg-query -W -f=’${Installed-Size;10}t${Package}n’ | sort -k1,1n","mostrar el espacio usado por los paquetes instalados, organizados por tamaño (Ubuntu, Debian y otros).",10
dos2unix filedos.txt fileunix.txt,convertir un formato de fichero texto desde MSDOS a UNIX.,11
unix2dos fileunix.txt filedos.txt,convertir un formato de fichero de texto desde UNIX a MSDOS.,11
recode ..HTML < page.txt > page.html,convertir un fichero de texto en html.,11
recode -l | more,mostrar todas las conversiones de formato disponibles.,11
mkfs /dev/hda1,crear un fichero de sistema tipo Linux en la partición hda1.,12
mke2fs /dev/hda1,crear un fichero de sistema tipo Linux ext 2 en hda1.,12
mke2fs -j /dev/hda1,crear un fichero de sistema tipo Linux ext3 (periódico) en la partición hda1.,12
mkfs -t vfat 32 -F /dev/hda1,crear un fichero de sistema FAT32 en hda1.,12
fdformat -n /dev/fd0,formatear un disco flooply.,12
mkswap /dev/hda3, crear un fichero de sistema swap.,12
cat file1 file2 .. | command <> file1_in.txt_or_file1_out.txt,"sintaxis general para la manipulación de texto utilizando PIPE, STDIN y STDOUT.",14
"cat file1 | command( sed, grep, awk, grep, etc…) > result.txt",sintaxis general para manipular un texto de un fichero y escribir el resultado en un fichero nuevo.,14
"cat file1 | command( sed, grep, awk, grep, etc…) » result.txt",sintaxis general para manipular un texto de un fichero y añadir resultado en un fichero existente.,14
grep Aug /var/log/messages,buscar palabras “Aug” en el fichero ‘/var/log/messages’.,14
grep ^Aug /var/log/messages,buscar palabras que comienzan con “Aug” en fichero ‘/var/log/messages’,14
grep [0-9] /var/log/messages,seleccionar todas las líneas del fichero ‘/var/log/messages’ que contienen números.,14
grep Aug -R /var/log/*:,buscar la cadena “Aug” en el directorio ‘/var/log’ y debajo.,14
sed ‘s/stringa1/stringa2/g’ example.txt,reubicar “string1” con “string2” en ejemplo.txt,14
sed ‘/^$/d’ example.txt,eliminar todas las líneas en blanco desde el ejemplo.txt,14
sed ‘/ *#/d, /^$/d’ example.txt,14
echo ‘esempio’ | tr ‘[:lower:]’ ‘[:upper:]’,convertir minúsculas en mayúsculas.,14
sed -e ‘1d’ result.txt,elimina la primera línea del fichero ejemplo.txt,14
sed -n ‘/stringa1/p’,visualizar solamente las líneas que contienen la palabra “string1”.,14
top,mostrar las tareas de linux usando la mayoría cpu.,15
ps -eafw,muestra las tareas Linux.,15
"ps -e -o pid,args –forest",muestra las tareas Linux en un modo jerárquico.,15
pstree,mostrar un árbol sistema de procesos.,15
kill -9 ID_Processo,forzar el cierre de un proceso y terminarlo.,15
kill -1 ID_Processo,forzar un proceso para recargar la configuración.,15
lsof -p $$,mostrar una lista de ficheros abiertos por procesos.,15
lsof /home/user1,muestra una lista de ficheros abiertos en un camino dado del sistema.,15
strace -c ls >/dev/null,mostrar las llamadas del sistema hechas y recibidas por un proceso.,15
strace -f -e open ls >/dev/null,mostrar las llamadas a la biblioteca.,15
watch -n1 ‘cat /proc/interrupts’,mostrar interrupciones en tiempo real.,15
last reboot,mostrar historial de reinicio.,15
lsmod,mostrar el kernel cargado.,15
free -m,muestra el estado de la RAM en megabytes.,15
smartctl -A /dev/hda,monitorear la fiabilidad de un disco duro a través de SMART.,15
smartctl -i /dev/hda,chequear si SMART está activado en un disco duro.,15
tail /var/log/dmesg,mostrar eventos inherentes al proceso de carga del kernel.,15
tail /var/log/messages,mostrar los eventos del sistema.,15
mount /dev/hda2 /mnt/hda2,"montar un disco llamado hda2. Verifique primero la existencia del directorio ‘/ mnt/hda2’; si no está, debe crearlo.",16
umount /dev/hda2,desmontar un disco llamado hda2. Salir primero desde el punto ‘/ mnt/hda2.,16
fuser -km /mnt/hda2,forzar el desmontaje cuando el dispositivo está ocupado.,16
umount -n /mnt/hda2,correr el desmontaje sin leer el fichero /etc/mtab. Útil cuando el fichero es de solo lectura o el disco duro está lleno.,16
mount /dev/fd0 /mnt/floppy,montar un disco flexible (floppy).,16
mount /dev/cdrom /mnt/cdrom,montar un cdrom / dvdrom.,16
mount /dev/hdc /mnt/cdrecorder,montar un cd regrabable o un dvdrom.,16
mount /dev/hdb /mnt/cdrecorder,montar un cd regrabable / dvdrom (un dvd).,16
mount -o loop file.iso /mnt/cdrom,montar un fichero o una imagen iso.,16
mount -t vfat /dev/hda5 /mnt/hda5,montar un sistema de ficheros FAT32.,16
mount /dev/sda1 /mnt/usbdisk,montar un usb pen-drive o una memoria (sin especificar el tipo de sistema de ficheros).,16
apropos …keyword,"mostrar una lista de comandos que pertenecen a las palabras claves de un programa; son útiles cuando tú sabes qué hace tu programa, pero de sconoces el nombre del comando.",17
man ping,"mostrar las páginas del manual on-line; por ejemplo, en un comando ping, usar la opción ‘-k’ para encontrar cualquier comando relacionado.",17
whatis …keyword,muestra la descripción de lo que hace el programa.,17
mkbootdisk –device /dev/fd0 `uname -r`,crear un floppy boteable.,17
gpg -c file1,codificar un fichero con guardia de seguridad GNU.,17
gpg file1.gpg,decodificar un fichero con Guardia de seguridad GNU.,17
wget -r www.example.com,descargar un sitio web completo.,17
wget -c www.example.com/file.iso,descargar un fichero con la posibilidad de parar la descargar y reanudar más tarde.,17
echo ‘wget -c www.example.com/files.iso‘ | at 09:00,Comenzar una descarga a cualquier hora. En este caso empezaría a las 9 horas.,17
ldd /usr/bin/ssh,mostrar las bibliotecas compartidas requeridas por el programa ssh.,17
alias hh=’history’,colocar un alias para un commando –hh= Historial.,17
chsh,cambiar el comando Shell.,17
chsh –list-shells,es un comando adecuado para saber si tienes que hacer remoto en otra terminal.,17
who -a,"mostrar quien está registrado, e imprimir hora del último sistema de importación, procesos muertos, procesos de registro de sistema, procesos activos producidos por init, funcionamiento actual y últimos cambios del reloj del sistema.",17
dpkg -i package.deb,instalar / actualizar un paquete deb.,18
dpkg -r package_name,eliminar un paquete deb del sistema.,18
dpkg -l,mostrar todos los paquetes deb instalados en el sistema.,18
dpkg -l | grep httpd,mostrar todos los paquetes deb con el nombre “httpd”,18
dpkg -s package_name,obtener información en un paquete específico instalado en el sistema.,18
dpkg -L package_name,mostar lista de ficheros dados por un paquete instalado en el sistema.,18
dpkg –contents package.deb,mostrar lista de ficheros dados por un paquete no instalado todavía.,18
dpkg -S /bin/ping,verificar cuál paquete pertenece a un fichero dado.,18
rpm -ivh package.rpm,instalar un paquete rpm.,19
rpm -ivh –nodeeps package.rpm,instalar un paquete rpm ignorando las peticiones de dependencias.,19
rpm -U package.rpm,actualizar un paquete rpm sin cambiar la configuración de los ficheros.,19
rpm -F package.rpm,actualizar un paquete rpm solamente si este está instalado.,19
rpm -e package_name.rpm,eliminar un paquete rpm.,19
rpm -qa,mostrar todos los paquetes rpm instalados en el sistema.,19
rpm -qa | grep httpd,mostrar todos los paquetes rpm con el nombre “httpd”.,19
rpm -qi package_name,obtener información en un paquete específico instalado.,19
rpm -qg “System Environment/Daemons”:,mostar los paquetes rpm de un grupo software.,19
rpm -ql package_name,mostrar lista de ficheros dados por un paquete rpm instalado.,19
rpm -qc package_name,mostrar lista de configuración de ficheros dados por un paquete rpm instalado.,19
rpm -q package_name –whatrequires,mostrar lista de dependencias solicitada para un paquete rpm.,19
rpm -q package_name –whatprovides,mostar la capacidad dada por un paquete rpm.,19
rpm -q package_name –scripts,mostrar los scripts comenzados durante la instalación /eliminación.,19
rpm -q package_name –changelog,mostar el historial de revisions de un paquete rpm.,19
rpm -qf /etc/httpd/conf/httpd.conf,verificar cuál paquete rpm pertenece a un fichero dado.,19
rpm -qp package.rpm - l,mostrar lista de ficheros dados por un paquete rpm que aún no ha sido instalado.,19
rpm –import /media/cdrom/RPM-GPG-KEY,importar la firma digital de la llave pública.,19
rpm –checksig package.rpm,verificar la integridad de un paquete rpm.,19
rpm -qa gpg-pubkey,verificar la integridad de todos los paquetes rpm instalados.,19
rpm -V package_name,"chequear el tamaño del fichero, licencias, tipos, dueño, grupo, chequeo de resumen de MD5 y última modificación.",19
rpm -Va,chequear todos los paquetes rpm instalados en el sistema. Usar con cuidado.,19
rpm -Vp package.rpm,verificar un paquete rpm no instalado todavía.,19
rpm2cpio package.rpm | cpio –extract –make-directories *bin*,extraer fichero ejecutable desde un paquete rpm.,19
rpm -ivh /usr/src/redhat/RPMS/`arch`/package.rpm,instalar un paquete construido desde una fuente rpm.,19
rpmbuild –rebuild package_name.src.rpm,construir un paquete rpm desde una fuente rpm.,19
ls -lh,Mostrar permisos.,20
ls /tmp | pr -T5 -W$COLUMNS,dividir la terminal en 5 columnas.,20
chmod ugo+rwx directory1,"colocar permisos de lectura ®, escritura (w) y ejecución(x) al propietario (u), al grupo (g) y a otros (o) sobre el directorio ‘directory1’.",20
chmod go-rwx directory1,"quitar permiso de lectura ®, escritura (w) y (x) ejecución al grupo (g) y otros (o) sobre el directorio ‘directory1’.",20
chown user1 file1,cambiar el dueño de un fichero.,20
chown -R user1 directory1,cambiar el propietario de un directorio y de todos los ficheros y directorios contenidos dentro.,20
chgrp group1 file1,cambiar grupo de ficheros.,20
chown user1:group1 file1,cambiar usuario y el grupo propietario de un fichero.,20
find / -perm -u+s,visualizar todos los ficheros del sistema con SUID configurado.,20
chmod u+s /bin/file1,colocar el bit SUID en un fichero binario. El usuario que corriendo ese fichero adquiere los mismos privilegios como dueño.,20
chmod u-s /bin/file1,deshabilitar el bit SUID en un fichero binario.,20
chmod g+s /home/public,colocar un bit SGID en un directorio –similar al SUID pero por directorio.,20
chmod g-s /home/public,desabilitar un bit SGID en un directorio.,20
chmod o+t /home/public,colocar un bit STIKY en un directorio. Permite el borrado de ficheros solamente a los dueños legítimos.,20
chmod o-t /home/public,desabilitar un bit STIKY en un directorio.,20
nbtscan ip_addr,resolución de nombre de red bios.,21
nmblookup -A ip_addr,resolución de nombre de red bios.,21
smbclient -L ip_addr/hostname,mostrar acciones remotas de un host en windows.,21
dump -0aj -f /tmp/home0.bak /home,hacer una salva completa del directorio ‘/home’.,21
dump -1aj -f /tmp/home0.bak /home,hacer una salva incremental del directorio ‘/home’.,21
restore -if /tmp/home0.bak,restaurando una salva interactivamente.,21
rsync -rogpav –delete /home /tmp,sincronización entre directorios.,21
rsync -rogpav -e ssh –delete /home ip_address:/tmp,rsync a través del túnel SSH.,21
rsync -az -e ssh –delete ip_addr:/home/public /home/local,sincronizar un directorio local con un directorio remoto a través de ssh y de compresión.,21
rsync -az -e ssh –delete /home/local ip_addr:/home/public,sincronizar un directorio remoto con un directorio local a través de ssh y de compresión.,21
dd bs=1M if=/dev/hda | gzip | ssh user@ip_addr ‘dd of=hda.gz’,hacer una salva de un disco duro en un host remoto a través de ssh.,21
dd if=/dev/sda of=/tmp/file1,salvar el contenido de un disco duro a un fichero. (En este caso el disco duro es “sda” y el fichero “file1”).,21
tar -Puf backup.tar /home/user,hacer una salva incremental del directorio ‘/home/user’.,21
( cd /tmp/local/ && tar c . ) | ssh -C user@ip_addr ‘cd /home/share/ && tar x -p’,copiar el contenido de un directorio en un directorio remoto a través de ssh.,21
( tar c /home ) | ssh -C user@ip_addr ‘cd /home/backup-home && tar x -p’,copiar un directorio local en un directorio remoto a través de ssh.,21
tar cf – . | (cd /tmp/backup ,copia local conservando las licencias y enlaces desde un directorio a otro.,21
find /home/user1 -name ‘*.txt’ | xargs cp -av –target-directory=/home/backup/ –parents,encontrar y copiar todos los ficheros con extensión ‘.txt’ de un directorio a otro.,21
find /var/log -name ‘*.log’ | tar cv –files-from=- | bzip2 > log.tar.bz2,encontrar todos los ficheros con extensión ‘.log’ y hacer un archivo bzip.,21
dd if=/dev/hda of=/dev/fd0 bs=512 count=1,hacer una copia del MRB (Master Boot Record) a un disco floppy.,21
dd if=/dev/fd0 of=/dev/hda bs=512 count=1,restaurar la copia del MBR (Master Boot Record) salvada en un floppy.,21
iptables -t filter -L,mostrar todas las cadenas de la tabla de filtro.,22
iptables -t nat -L,mostrar todas las cadenas de la tabla nat.,22
iptables -t filter -F,limpiar todas las reglas de la tabla de filtro.,22
iptables -t nat -F,limpiar todas las reglas de la tabla nat.,22
iptables -t filter -X,borrar cualquier cadena creada por el usuario.,22
iptables -t filter -A INPUT -p tcp –dport telnet -j ACCEPT,permitir las conexiones telnet para entar.,22
iptables -t filter -A OUTPUT -p tcp –dport http -j DROP,bloquear las conexiones HTTP para salir.,22
iptables -t filter -A FORWARD -p tcp –dport pop3 -j ACCEPT,permitir las conexiones POP a una cadena delantera.,22
iptables -t filter -A INPUT -j LOG –log-prefix “DROP INPUT”,registrando una cadena de entrada.,22
iptables -t nat -A POSTROUTING -o eth0 -j MASQUERADE,"configurar un PAT (Puerto de traducción de dirección) en eth0, ocultando los paquetes de salida forzada.",22
iptables -t nat -A PREROUTING -d 192.168.0.1 -p tcp -m tcp –dport 22 -j DNAT –to-destination 10.0.0.2:22,redireccionar los paquetes diriguidos de un host a otro.,22
ifconfig eth0,mostrar la configuración de una tarjeta de red Ethernet.,23
ifup eth0,activar una interface ‘eth0’.,23
ifdown eth0,deshabilitar una interface ‘eth0’.,23
ifconfig eth0 192.168.1.1 netmask 255.255.255.0,configurar una dirección IP.,23
ifconfig eth0 promisc,configurar ‘eth0’en modo común para obtener los paquetes (sniffing).,23
dhclient eth0,activar la interface ‘eth0’ en modo dhcp.,23
route -n,mostrar mesa de recorrido.,23
route add -net 0/0 gw IP_Gateway,configurar entrada predeterminada.,23
route add -net 192.168.0.0 netmask 255.255.0.0 gw 192.168.1.1,configurar ruta estática para buscar la red ‘192.168.0.0/16’.,23
route del 0/0 gw IP_gateway,eliminar la ruta estática.,23
echo “1” > /proc/sys/net/ipv4/ip_forward,activar el recorrido ip.,23
hostname,mostrar el nombre del host del sistema.,23
host www.example.com,buscar el nombre del host para resolver el nombre a una dirección ip(1).,23
nslookup www.example.com,buscar el nombre del host para resolver el nombre a una direccióm ip y viceversa(2).,23
ip link show,mostar el estado de enlace de todas las interfaces.,23
mii-tool eth0,mostar el estado de enlace de ‘eth0’.,23
ethtool eth0,mostrar las estadísticas de tarjeta de red ‘eth0’.,23
netstat -tup,mostrar todas las conexiones de red activas y sus PID.,23
netstat -tupl,mostrar todos los servicios de escucha de red en el sistema y sus PID.,23
tcpdump tcp port 80,mostrar todo el tráfico HTTP.,23
iwlist scan,mostrar las redes inalámbricas.,23
iwconfig eth1,mostrar la configuración de una tarjeta de red inalámbrica.,23
whois www.example.com,buscar en base de datos Whois.,23
mkswap /dev/hda3,crear fichero de sistema swap.,24
swapon /dev/hda3,activando una nueva partición swap.,24
swapon /dev/hda2 /dev/hdb3,activar dos particiones swap.,24
groupadd nombre_del_grupo,crear un nuevo grupo.,25
groupdel nombre_del_grupo,borrar un grupo.,25
groupmod -n nuevo_nombre_del_grupo viejo_nombre_del_grupo,renombrar un grupo.,25
useradd -c “Name Surname ” -g admin -d /home/user1 -s /bin/bash user1,Crear un nuevo usuario perteneciente al grupo “admin”.,25
useradd user1,crear un nuevo usuario.,25
userdel -r user1,borrar un usuario (‘-r’ elimina el directorio Home).,25
usermod -c “User FTP” -g system -d /ftp/user1 -s /bin/nologin user1,cambiar los atributos del usuario.,25
passwd,cambiar contraseña.,25
passwd user1,cambiar la contraseña de un usuario (solamente por root).,25
chage -E 2011-12-31 user1,colocar un plazo para la contraseña del usuario. En este caso dice que la clave expira el 31 de diciembre de 2011.,25
pwck,chequear la sintaxis correcta el formato de fichero de ‘/etc/passwd’ y la existencia de usuarios.,25
grpck,chequear la sintaxis correcta y el formato del fichero ‘/etc/group’ y la existencia de grupos.,25
newgrp group_name,registra a un nuevo grupo para cambiar el grupo predeterminado de los ficheros creados recientemente.,25
cat file1,ver los contenidos de un fichero comenzando desde la primera hilera.,26
tac file1,ver los contenidos de un fichero comenzando desde la última línea.,26
more file1,ver el contenido a lo largo de un fichero.,26
less file1,parecido al commando ‘more’ pero permite salvar el movimiento en el fichero así como el movimiento hacia atrás.,26
head -2 file1,ver las dos primeras líneas de un fichero.,26
tail -2 file1,ver las dos últimas líneas de un fichero.,26
tail -f /var/log/messages,ver en tiempo real qué ha sido añadido al fichero.,26
